,match,GK Difference,FW Difference,MF Difference,DF Difference,backup Difference,GK^2 Difference,GK FW Difference,GK MF Difference,GK DF Difference,GK backup Difference,FW^2 Difference,FW MF Difference,FW DF Difference,FW backup Difference,MF^2 Difference,MF DF Difference,MF backup Difference,DF^2 Difference,DF backup Difference,backup^2 Difference,Year,Winner
62,Uruguay-Germany,-8.0,8.0,-8.986111111111114,-3.6666666666666714,-4.890211640211646,-13.599999999999994,0.9066666666666592,-14.17875,-9.343333333333334,-9.57376984126985,11.786666666666669,-0.07921296296296276,3.525555555555549,1.8146340388007047,-14.693539737654326,-9.99194444444445,-10.082909134332759,-5.707777777777785,-6.289047619047622,-6.622679078833194,2010,0
63,Netherlands-Spain,4.0,0.6666666666666572,-9.125,-13.75,0.9166666666666572,5.919999999999995,3.693333333333328,-3.6950000000000003,-6.9566666666666706,3.3333333333333286,1.0666666666666487,-6.7904166666666725,-10.46361111111112,1.1758333333333084,-13.94984375,-17.851979166666666,-5.35604166666667,-22.12604166666668,-8.389027777777791,1.2168749999999804,2010,0
0,Brazil-Croatia,-9.0,4.333333333333329,-3.5,3.6666666666666714,-3.306818181818187,-13.949999999999996,-3.9466666666666725,-10.340000000000003,-4.643333333333331,-8.871136363636374,7.034444444444432,0.8316666666666634,6.579999999999998,0.35332070707069363,-5.9325000000000045,0.19666666666667254,-5.255776515151517,6.098888888888894,-0.1801010101010121,-4.635683109504143,2014,2
1,Mexico-Cameroon,-0.1176470588235361,1.294117647058826,6.911764705882348,-3.3333333333333286,1.2401960784313815,-0.16249134948098032,0.8042675893886937,4.6846020761245555,-2.3894117647058906,0.7793512110726653,1.9675663206459149,6.228690888119942,-1.5720261437908363,1.791041906958867,10.408304498269892,2.6279411764705856,5.464219290657439,-4.955555555555549,-1.263006535947703,1.6258119473279677,2014,2
2,Spain-Netherlands,15.0,-2.3333333333333286,7.25,7.666666666666657,-2.950757575757578,25.050000000000004,10.17666666666667,18.184999999999995,19.076666666666654,8.082424242424239,-3.7722222222222115,3.9733333333333434,4.225555555555545,-4.025732323232326,11.726875000000007,12.326666666666668,2.7109564393939323,12.95666666666665,2.8969444444444434,-4.14927929866851,2014,0
3,Chile-Australia,-7.0,4.666666666666671,3.25,4.0,-2.6666666666666643,-10.71,-1.4466666666666583,-2.842500000000001,-2.049999999999997,-6.555,6.688888888888897,5.881666666666668,6.2733333333333405,1.0988888888889008,4.9481250000000045,5.417499999999997,0.0662500000000037,5.840000000000003,0.63333333333334,-3.4399999999999977,2014,2
4,Colombia-Greece,1.0,8.0,-3.0,-1.6666666666666714,-3.7817460317460316,1.5699999999999932,6.99666666666667,-1.6199999999999974,-0.5499999999999972,-2.313412698412698,11.466666666666669,3.729999999999997,4.87222222222222,2.5318121693121682,-4.409999999999997,-3.5,-4.745357142857138,-2.5277777777777857,-3.9599206349206497,-4.95603820231797,2014,2
5,Uruguay-Costa Rica,12.0,14.533333333333331,3.5357142857142776,6.0,-0.13809523809523228,18.0,19.908,11.683928571428567,13.739999999999995,7.506142857142862,21.81937777777778,13.59307142857142,15.694666666666663,9.112546031746035,5.322512755102025,7.238571428571419,2.138206632653059,9.240000000000002,3.698523809523813,-0.17514421768706967,2014,0
6,England-Italy,-9.0,-11.666666666666671,-0.25,-6.666666666666657,-0.2765151515151416,-15.030000000000001,-16.92666666666667,-7.644999999999996,-13.036666666666662,-6.945946969696962,-18.627777777777787,-9.83916666666667,-15.005555555555553,-8.925454545454542,-0.41312499999999375,-5.715833333333336,-0.41499999999999204,-11.066666666666649,-5.203623737373725,-0.4126255452249623,2014,0
7,Ivory Coast-Japan,23.0,15.333333333333329,9.09375,2.4583333333333286,8.572916666666671,34.269999999999996,27.676666666666662,22.195625,19.057500000000005,21.287708333333335,21.67111111111111,16.70677083333333,13.221250000000005,15.992118055555558,12.194150390624998,8.45907552083333,11.639391276041671,3.6823784722222186,8.013424479166659,11.10817816840278,2014,2
