,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year,Winner
5,Argentina-Iceland,80.0,70.0,88.33333333333333,71.66666666666667,81.75,76.5,81.66666666666667,73.0,76.04545454545455,67.08333333333333,2018,1
6,Peru-Denmark,73.0,83.0,74.66666666666667,78.33333333333333,71.06578947368422,76.75,72.33333333333333,76.66666666666667,65.02192982456141,69.08333333333333,2018,0
7,Croatia-Nigeria,82.0,70.9,84.33333333333333,76.66666666666667,85.5,75.5,81.33333333333333,73.66666666666667,75.83333333333333,67.23333333333333,2018,2
8,Costa Rica-Serbia,69.0,79.0,66.33333333333333,78.66666666666667,74.0,82.25,74.33333333333333,77.66666666666667,65.22916666666667,71.08333333333333,2018,0
9,Germany-Mexico,89.0,69.0,83.66666666666667,79.0,86.25,75.0,86.33333333333333,77.0,81.91666666666667,65.25,2018,0
10,Brazil-Switzerland,87.0,84.0,86.66666666666667,75.66666666666667,85.5,79.25,86.66666666666667,78.66666666666667,74.77272727272727,74.8531746031746,2018,1
11,Sweden-South Korea,78.0,65.7,75.87878787878788,65.56666666666666,77.25,67.1,79.33333333333333,68.56666666666666,72.0,64.55000000000001,2018,2
12,Belgium-Panama,89.0,82.0,86.0,70.80392156862744,85.5,72.35294117647058,86.33333333333333,69.47058823529412,78.62301587301587,67.01960784313725,2018,2
13,Tunisia-England,71.0,83.0,75.66666666666667,86.66666666666667,66.75,82.25,73.33333333333333,83.0,69.2063492063492,75.08333333333333,2018,0
14,Colombia-Japan,79.0,62.66666666666666,80.0,62.66666666666666,77.5,67.25,80.33333333333333,64.88888888888889,65.25,60.58333333333332,2018,0
15,Poland-Senegal,86.0,76.0,82.66666666666667,81.0,76.25,79.25,79.0,80.33333333333333,71.08333333333333,67.75,2018,0
16,Russia-Egypt,80.0,70.52631578947368,68.0,79.0,78.0,74.0,75.8,72.35087719298245,72.2,66.79385964912281,2018,2
17,Portugal-Morocco,85.0,79.0,79.51515151515152,70.33333333333333,82.0,79.75,81.66666666666667,76.0,70.08333333333333,70.95075757575758,2018,2
18,Uruguay-Saudi Arabia,81.0,71.0,80.96969696969697,64.33333333333333,75.5,72.25,80.0,71.66666666666667,63.75,65.83333333333333,2018,2
19,Iran-Spain,73.0,91.0,75.33333333333333,83.33333333333333,68.58333333333333,86.5,70.1111111111111,88.33333333333333,63.75,72.91666666666667,2018,0
20,Denmark-Australia,83.0,80.0,78.33333333333333,72.33333333333333,76.75,74.5,76.66666666666667,73.66666666666667,69.08333333333333,70.0,2018,1
21,France-Peru,88.0,73.0,87.0,74.66666666666667,86.25,71.06578947368422,85.33333333333333,72.33333333333333,81.0,65.02192982456141,2018,2
22,Argentina-Croatia,80.0,82.0,88.33333333333333,84.33333333333333,81.75,85.5,81.66666666666667,81.33333333333333,76.04545454545455,75.83333333333333,2018,0
23,Brazil-Costa Rica,87.0,69.0,86.66666666666667,66.33333333333333,85.5,74.0,86.66666666666667,74.33333333333333,74.77272727272727,65.22916666666667,2018,2
24,Nigeria-Iceland,70.9,70.0,76.66666666666667,71.66666666666667,75.5,76.5,73.66666666666667,73.0,67.23333333333333,67.08333333333333,2018,2
25,Serbia-Switzerland,79.0,84.0,78.66666666666667,75.66666666666667,82.25,79.25,77.66666666666667,78.66666666666667,71.08333333333333,74.8531746031746,2018,0
26,Belgium-Tunisia,89.0,71.0,86.0,75.66666666666667,85.5,66.75,86.33333333333333,73.33333333333333,78.62301587301587,69.2063492063492,2018,2
27,South Korea-Mexico,65.7,69.0,65.56666666666666,79.0,67.1,75.0,68.56666666666666,77.0,64.55000000000001,65.25,2018,0
28,Germany-Sweden,89.0,78.0,83.66666666666667,75.87878787878788,86.25,77.25,86.33333333333333,79.33333333333333,81.91666666666667,72.0,2018,2
29,England-Panama,83.0,82.0,86.66666666666667,70.80392156862744,82.25,72.35294117647058,83.0,69.47058823529412,75.08333333333333,67.01960784313725,2018,2
30,Japan-Senegal,62.66666666666666,76.0,62.66666666666666,81.0,67.25,79.25,64.88888888888889,80.33333333333333,60.58333333333332,67.75,2018,1
31,Poland-Colombia,86.0,79.0,82.66666666666667,80.0,76.25,77.5,79.0,80.33333333333333,71.08333333333333,65.25,2018,0
32,France-Argentina,88.0,80.0,87.0,88.33333333333333,86.25,81.75,85.33333333333333,81.66666666666667,81.0,76.04545454545455,2018,2
